BestTaxon,Class,MFU-FHL001_MFU,MFU-FHL002_MFU,MFU-FHL003_MFU,MFU-FHL004_MFU,MFU-FHL005_MFU,MFU-FHL006_MFU,MFU-FHL008_MFU,MFU-FHL009_MFU,MFU-FHL010_MFU,MFU-FHL011_MFU,MFU-FHL012_MFU,MFU-FHL013_MFU,MFU-FHL015_MFU,MFU-FHL016_MFU,MFU-FHL017_MFU,MFU-FHL018_MFU,MFU-FHL019_MFU,MFU-FHL020_MFU,MFU-FHL022_MFU,MFU-FHL023_MFU,MFU-FHL024_MFU,MFU-FHL025_MFU,MFU-FHL026_MFU,MFU-FHL027_MFU,MFU-FHL029_MFU,MFU-FHL030_MFU,MFU-FHL031_MFU,MFU-FHL032_MFU,MFU-FHL033_MFU,MFU-FHL034_MFU,MFU-FHL037_MFU,MFU-FHL038_MFU,MFU-FHL039_MFU,MFU-FHL040_MFU,MFU-FHL041_MFU,MFU-FHL042_MFU,MFU-FHL043_MFU,MFU-FHL044_MFU,MFU-FHL045_MFU,MFU-FHL047_MFU,MFU-FHL048_MFU,MFU-FHL049_MFU,MFU-FHL051_MFU,MFU-FHL052_MFU,MFU-FHL053_MFU,MFU-FHL054_MFU,MFU-FHL055_MFU,MFU-FHL056_MFU,MFU-FHL058_MFU,MFU-FHL059_MFU,MFU-FHL060_MFU,MFU-FHL061_MFU,MFU-FHL062_MFU,MFU-FHL063_MFU,MFU-FHL065_MFU,MFU-FHL066_MFU,MFU-FHL067_MFU,MFU-FHL068_MFU,MFU-FHL069_MFU,MFU-FHL070_MFU,MFU-FHL072_MFU,MFU-FHL073_MFU,MFU-FHL074_MFU,MFU-FHL075_MFU,MFU-FHL076_MFU,MFU-FHL077_MFU,MFU-FHL079_MFU,MFU-FHL080_MFU,MFU-FHL081_MFU,MFU-FHL082_MFU,MFU-FHL083_MFU,MFU-FHL084_MFU,MFU-FHL085_MFU,MFU-FHL086_MFU,MFU-FHL087_MFU,MFU-FHL088_MFU,MFU-FHL089_MFU,MFU-FHL092_MFU,MFU-FHL093_MFU
Phalacrocorax,Aves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hexanchus griseus,Chondrichthyes,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrolagus colliei,Chondrichthyes,94,0,0,0,171,0,0,0,0,0,100,0,0,0,0,0,0,0,0,53,0,0,0,0,35,0,0,0,0,0,0,0,25,0,0,0,0,0,0,21,0,0,0,0,49,0,0,0,21,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,55,0,0,0,0,0
Lampetra richardsoni,Hyperoartia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bos taurus,Mammalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eschrichtius robustus,Mammalia,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eumetopias jubatus,Mammalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorilla,Mammalia,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homo,Mammalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homo sapiens,Mammalia,64,0,0,0,4,9,69,2,20,0,0,11,0,18,0,9,0,12,0,10,5,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,14,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,204,0,0,0,0,9,0,0,0,0
Phoca vitulina,Mammalia,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,29,0,12,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sus scrofa,Mammalia,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,18538,12692,3288,14547,4181,11866,16102,20258,13379,10643,8298,10943,16277,12548,9923,16663,6931,8471,12906,14386,11620,8916,23731,11262,1196,6809,2567,4872,4582,6798,5865,12833,13528,14535,9126,15802,19997,18541,23827,15549,14951,13314,6148,1927,2258,4792,6058,1458,4738,10432,9795,9291,19140,10234,13207,6127,7052,8135,2747,7394,744,4632,6679,5806,12421,19497,30,2165,6217,10317,19675,17492,17918,4218,4627,7654,3147,706,985
