BestTaxon,Class,MFU-FHL001_MFU,MFU-FHL002_MFU,MFU-FHL003_MFU,MFU-FHL004_MFU,MFU-FHL005_MFU,MFU-FHL006_MFU,MFU-FHL008_MFU,MFU-FHL009_MFU,MFU-FHL010_MFU,MFU-FHL011_MFU,MFU-FHL012_MFU,MFU-FHL013_MFU,MFU-FHL015_MFU,MFU-FHL016_MFU,MFU-FHL017_MFU,MFU-FHL018_MFU,MFU-FHL019_MFU,MFU-FHL020_MFU,MFU-FHL022_MFU,MFU-FHL023_MFU,MFU-FHL024_MFU,MFU-FHL025_MFU,MFU-FHL026_MFU,MFU-FHL027_MFU,MFU-FHL029_MFU,MFU-FHL030_MFU,MFU-FHL031_MFU,MFU-FHL032_MFU,MFU-FHL033_MFU,MFU-FHL034_MFU,MFU-FHL037_MFU,MFU-FHL038_MFU,MFU-FHL039_MFU,MFU-FHL040_MFU,MFU-FHL041_MFU,MFU-FHL042_MFU,MFU-FHL043_MFU,MFU-FHL044_MFU,MFU-FHL045_MFU,MFU-FHL047_MFU,MFU-FHL048_MFU,MFU-FHL049_MFU,MFU-FHL051_MFU,MFU-FHL052_MFU,MFU-FHL053_MFU,MFU-FHL054_MFU,MFU-FHL055_MFU,MFU-FHL056_MFU,MFU-FHL058_MFU,MFU-FHL059_MFU,MFU-FHL060_MFU,MFU-FHL061_MFU,MFU-FHL062_MFU,MFU-FHL063_MFU,MFU-FHL065_MFU,MFU-FHL066_MFU,MFU-FHL067_MFU,MFU-FHL068_MFU,MFU-FHL069_MFU,MFU-FHL070_MFU,MFU-FHL072_MFU,MFU-FHL073_MFU,MFU-FHL074_MFU,MFU-FHL075_MFU,MFU-FHL076_MFU,MFU-FHL077_MFU,MFU-FHL079_MFU,MFU-FHL080_MFU,MFU-FHL081_MFU,MFU-FHL082_MFU,MFU-FHL083_MFU,MFU-FHL084_MFU,MFU-FHL085_MFU,MFU-FHL086_MFU,MFU-FHL087_MFU,MFU-FHL088_MFU,MFU-FHL089_MFU,MFU-FHL092_MFU,MFU-FHL093_MFU
Eumicrotremus orbis,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadidae,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadus,Actinopteri,853,125,34,1104,642,2517,0,12,148,548,87,0,144,0,1322,375,224,384,85,844,137,117,0,0,0,0,380,0,0,0,319,510,664,1010,1485,1612,153,0,0,10,0,0,650,387,189,0,151,0,142,321,524,62,157,0,366,649,459,811,2031,1650,28,514,212,240,102,84,0,547,307,428,205,278,0,0,0,0,0,96,0
Gadus chalcogrammus,Actinopteri,186,0,0,192,84,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,0,0,0,0,0,0,0,1090,0,114,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,65,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,44,0,0,0,0,87,0,0,0,161,0,0,0,0
Gasterosteus aculeatus,Actinopteri,0,0,0,0,50,0,0,0,110,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,86,159,0,0,0,0,0,0,267,0,7125,0,0,54,9,36,22,0,0,82,173,47,0,0,0,0,0,0,114,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gobiesox maeandricus,Actinopteri,0,0,0,0,0,0,0,17,0,0,0,0,0,61,120,0,0,0,0,0,0,38,0,30,0,0,0,0,0,0,0,0,4,0,0,0,717,0,0,0,0,0,0,5,0,121,0,10,0,216,0,0,0,0,41,0,0,147,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,115,0,0,0,0
Hemilepidotus hemilepidotus,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hexagrammos,Actinopteri,0,0,0,141,36,0,0,0,0,0,72,67,0,0,0,0,0,0,0,93,0,129,0,0,0,0,0,25,77,0,0,0,0,0,0,0,0,0,25,0,0,0,100,68,233,0,0,20,0,30,161,0,78,0,0,0,0,0,73,0,0,0,0,0,37,0,0,0,0,0,0,0,0,50,0,96,0,0,0
Hexagrammos decagrammus,Actinopteri,0,0,0,0,0,128,0,23,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,72,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0
Hypomesus,Actinopteri,0,0,0,0,25,0,66,11,378,160,641,56,0,0,147,0,0,0,156,194,281,64,76,192,0,0,37,10,108,0,0,110,0,0,0,0,93,188,20,132,156,67,0,0,0,0,0,0,0,149,0,486,127,517,0,0,0,0,67,0,16,0,0,25,19,165,0,0,0,0,0,0,0,0,119,0,0,0,0
Icelinus borealis,Actinopteri,0,0,12,168,0,130,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,819,0,0,92,0,0,38,0,0,0,0,0,12,0,0,0,0,0,35,0,0,0,0,0,0
Icichthys lockingtoni,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepidopsetta,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,63,0,0,0,0,0,0,0,0,281,18,0,0,255,262,24,0,0,0,0,0,0,0,0,0,34,82,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,173,56,0,0,0,0,0,0,0,0,0,0,0,80,0,108,0
Leptoclinus maculatus,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptocottus armatus,Actinopteri,150,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,347,2141,235,0,89,107,50,0,368,0,135,0,66,0,0,104,67,175,152,0,0,137,340,427,432,149,122,162,0,0,167,0,189,167,0,0,0,0,0,0,104,0,148,0,148,95,81,85,0,0,0,0,0,0,0,55,387,0,92,0,0
Liparis,Actinopteri,195,0,0,0,37,0,0,0,0,0,0,35,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,9,0,0,129,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0
Liparis florae,Actinopteri,213,366,19,204,0,0,0,22,0,954,374,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liparis fucensis,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lumpenus sagitta,Actinopteri,0,157,56,436,102,430,300,38,112,418,66,70,620,0,87,156,0,150,122,82,62,0,0,0,0,0,0,25,377,0,344,246,151,371,0,431,0,0,38,0,0,54,34,32,0,339,0,14,0,463,485,120,175,217,0,65,0,82,43,0,183,179,123,385,47,71,0,0,0,0,0,0,0,173,243,0,0,0,0
Lycodopsis pacificus,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,61,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
Lyopsetta exilis,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microgadus proximus,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micropterus,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0
Microstomus pacificus,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myoxocephalus,Actinopteri,167,133,15,469,283,115,155,15,415,920,279,65,35,79,306,420,0,0,281,320,82,127,31,0,0,0,79,82,391,598,214,743,34,383,80,270,310,186,42,0,129,172,71,196,0,154,213,30,61,487,350,204,160,436,1154,0,158,50,0,7,176,691,543,626,115,110,0,0,0,179,0,0,0,202,162,0,171,206,27
Nautichthys oculofasciatus,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,120,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,132,0,0,0
Odontopyxis trispinosa,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0
Oligocottus,Actinopteri,0,0,0,104,82,241,95,0,123,242,69,44,0,0,0,222,0,0,123,171,491,1515,92,43,66,0,0,23,48,124,40,0,0,0,44,0,0,0,0,161,264,376,248,196,53,94,118,0,4,183,91,278,284,310,0,0,0,0,0,0,6,13,135,574,192,0,0,0,0,0,0,0,0,47,112,0,40,0,0
Oncorhynchus,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,63,1782,2895,2564,1451,613,981,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,68,0,184,116,44,0,0,0,174,0,0,0,0,0,0,0,0,0
Oncorhynchus gorbuscha,Actinopteri,0,0,0,0,31,0,2764,0,252,996,625,88,0,0,84,170,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,38,0,0,211,0,0,0,0,0,0,0,0,139,170,167,0,116,242,200,140,42,0,0,0,0,207,112,156,0,141,2194,452,412,92,0,0,0,376,33,174,0,0,0,0,0,0,0
Oncorhynchus keta,Actinopteri,0,0,0,0,0,0,629,453,624,869,509,86,0,0,0,0,0,0,495,0,422,0,231,134,0,0,88,21,172,59,0,0,0,0,77,268,390,273,0,236,66,175,74,30,0,83,81,0,6765,490,396,0,131,537,52,128,189,0,0,0,109,0,69,167,33,0,0,0,0,386,0,0,0,0,0,0,0,0,70
Oncorhynchus kisutch,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncorhynchus nerka,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,86,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
Oncorhynchus tshawytscha,Actinopteri,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
Ophiodon elongatus,Actinopteri,0,0,0,0,0,103,0,0,0,0,0,0,72,0,0,151,91,165,0,0,0,0,59,0,90,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,61,50,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,63,0,0,0,0,0
Oxylebius pictus,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pholis,Actinopteri,0,0,14,147,0,0,0,0,0,610,0,0,0,0,0,0,104,0,0,0,0,0,62,54,0,0,85,0,0,0,174,0,0,254,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,189,0,0,0,0,0,0,0,0,120,0,0,81,0,0,0,0,291,0,0,0,92,0,0,77,0,0
Pholis laeta,Actinopteri,103,234,0,329,315,241,0,0,148,179,225,182,0,43,0,0,0,0,309,284,589,361,203,115,233,144,1374,141,1422,389,415,302,83,182,113,923,458,186,77,104,142,223,599,457,102,622,103,91,531,431,88,591,48,747,0,72,0,322,178,0,154,319,379,468,185,186,0,0,1728,0,0,0,415,738,623,840,390,193,45
Pholis ornata,Actinopteri,0,0,0,760,537,1068,54,72,179,1183,465,230,400,144,538,457,110,420,508,356,193,92,336,377,377,0,931,237,866,470,1272,517,490,1129,698,432,523,195,90,273,356,619,472,636,860,354,369,59,1103,1168,350,996,804,1721,0,0,0,142,0,376,687,1329,1860,1693,392,652,0,299,0,177,0,0,317,153,1339,510,609,685,0
Phytichthys chirus,Actinopteri,0,247,0,0,0,0,358,175,0,558,1186,77,0,340,265,0,50,0,177,623,879,176,49,71,225,31,1458,154,166,78,0,0,0,0,69,0,131,0,0,0,0,0,0,0,0,0,0,51,0,210,0,0,0,0,395,864,482,884,1325,157,306,0,718,158,0,0,9,421,0,0,0,0,366,437,792,194,691,342,50
Pleuronectidae,Actinopteri,169,124,0,803,72,0,0,0,0,0,0,0,129,0,85,0,0,0,0,183,0,0,0,38,160,0,41,0,0,53,0,97,48,0,156,89,0,0,0,0,0,0,0,0,0,0,0,0,0,478,205,392,0,121,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,187,0,23,62,0,24
Pleuronichthys coenosus,Actinopteri,0,125,0,0,0,0,0,2,0,222,0,173,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,213,0,0,63,0,103,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,80,141,766,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Podothecus accipenserinus,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
