"","Hash","Mean.blank","LoLe-FHL004-COI-N1-WL-1_R1.fastq.gz","LoLe-FHL005-COI-N1-WL-2_R1.fastq.gz","LoLe-FHL006-COI-N1-WL-3_R1.fastq.gz","LoLe-FHL001-COI-N1-NL-1_R1.fastq.gz","LoLe-FHL002-COI-N1-NL-2_R1.fastq.gz","LoLe-FHL003-COI-N1-NL-3_R1.fastq.gz","LoLe-FHL011-COI-D1-WL-1_R1.fastq.gz","LoLe-FHL012-COI-D1-WL-2_R1.fastq.gz","LoLe-FHL013-COI-D1-WL-3_R1.fastq.gz","LoLe-FHL008-COI-D1-NL-1_R1.fastq.gz","LoLe-FHL009-COI-D1-NL-2_R1.fastq.gz","LoLe-FHL010-COI-D1-NL-3_R1.fastq.gz","LoLe-FHL018-COI-N2-WL-1_R1.fastq.gz","LoLe-FHL019-COI-N2-WL-2_R1.fastq.gz","LoLe-FHL020-COI-N2-WL-3_R1.fastq.gz","LoLe-FHL015-COI-N2-NL-1_R1.fastq.gz","LoLe-FHL016-COI-N2-NL-2_R1.fastq.gz","LoLe-FHL017-COI-N2-NL-3_R1.fastq.gz","LoLe-FHL025-COI-D2-WL-1_R1.fastq.gz","LoLe-FHL026-COI-D2-WL-2_R1.fastq.gz","LoLe-FHL027-COI-D2-WL-3_R1.fastq.gz","LoLe-FHL022-COI-D2-NL-1_R1.fastq.gz","LoLe-FHL023-COI-D2-NL-2_R1.fastq.gz","LoLe-FHL024-COI-D2-NL-3_R1.fastq.gz","LoLe-FHL032-COI-D3-WL-1_R1.fastq.gz","LoLe-FHL033-COI-D3-WL-2_R1.fastq.gz","LoLe-FHL034-COI-D3-WL-3_R1.fastq.gz","LoLe-FHL029-COI-D3-NL-1_R1.fastq.gz","LoLe-FHL030-COI-D3-NL-2_R1.fastq.gz","LoLe-FHL031-COI-D3-NL-3_R1.fastq.gz","LoLe-FHL040-COI-N3-WL-1_R1.fastq.gz","LoLe-FHL041-COI-N3-WL-2_R1.fastq.gz","LoLe-FHL042-COI-N3-WL-3_R1.fastq.gz","LoLe-FHL037-COI-N3-NL-1_R1.fastq.gz","LoLe-FHL038-COI-N3-NL-2_R1.fastq.gz","LoLe-FHL039-COI-N3-NL-3_R1.fastq.gz","LoLe-FHL047-COI-D4-WL-1_R1.fastq.gz","LoLe-FHL048-COI-D4-WL-2_R1.fastq.gz","LoLe-FHL049-COI-D4-WL-3_R1.fastq.gz","LoLe-FHL043-COI-D4-NL-1_R1.fastq.gz","LoLe-FHL044-COI-D4-NL-2_R1.fastq.gz","LoLe-FHL045-COI-D4-NL-3_R1.fastq.gz","LoLe-FHL054-COI-N4-WL-1_R1.fastq.gz","LoLe-FHL055-COI-N4-WL-2_R1.fastq.gz","LoLe-FHL056-COI-N4-WL-3_R1.fastq.gz","LoLe-FHL051-COI-N4-NL-1_R1.fastq.gz","LoLe-FHL052-COI-N4-NL-2_R1.fastq.gz","LoLe-FHL053-COI-N4-NL-3_R1.fastq.gz","LoLe-FHL061-COI-D5-WL-1_R1.fastq.gz","LoLe-FHL062-COI-D5-WL-2_R1.fastq.gz","LoLe-FHL063-COI-D5-WL-3_R1.fastq.gz","LoLe-FHL058-COI-D5-NL-1_R1.fastq.gz","LoLe-FHL059-COI-D5-NL-2_R1.fastq.gz","LoLe-FHL060-COI-D5-NL-3_R1.fastq.gz","LoLe-FHL068-COI-N5-WL-1_R1.fastq.gz","LoLe-FHL069-COI-N5-WL-2_R1.fastq.gz","LoLe-FHL070-COI-N5-WL-3_R1.fastq.gz","LoLe-FHL065-COI-N5-NL-1_R1.fastq.gz","LoLe-FHL066-COI-N5-NL-2_R1.fastq.gz","LoLe-FHL067-COI-N5-NL-3_R1.fastq.gz","LoLe-FHL075-COI-D6-WL-1_R1.fastq.gz","LoLe-FHL076-COI-D6-WL-2_R1.fastq.gz","LoLe-FHL077-COI-D6-WL-3_R1.fastq.gz","LoLe-FHL072-COI-D6-NL-1_R1.fastq.gz","LoLe-FHL073-COI-D6-NL-2_R1.fastq.gz","LoLe-FHL074-COI-D6-NL-3_R1.fastq.gz","LoLe-FHL082-COI-N6-WL-1_R1.fastq.gz","LoLe-FHL083-COI-N6-WL-2_R1.fastq.gz","LoLe-FHL084-COI-N6-WL-3_R1.fastq.gz","LoLe-FHL081-COI-N6-NL-3_R1.fastq.gz","LoLe-FHL088-COI-D7-WL-1_R1.fastq.gz","LoLe-FHL089-COI-D7-WL-2_R1.fastq.gz","LoLe-FHL090-COI-D7-WL-3_R1.fastq.gz","LoLe-FHL085-COI-D7-NL-1_R1.fastq.gz","LoLe-FHL086-COI-D7-NL-2_R1.fastq.gz","LoLe-FHL087-COI-D7-NL-3_R1.fastq.gz","LoLe-FHL092-COI-N7-NL-1_R1.fastq.gz","LoLe-FHL093-COI-N7-NL-2_R1.fastq.gz","LoLe-FHL094-COI-N7-NL-3_R1.fastq.gz"
"33","02d79b70f67c5f773a004101970fbc6ca681656a",0.353496697124323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2770","03f514d75b405e1de89824a74ba0371154fe14b6",10.2756072555005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12101","0452aea689f7cba8ea32fc1dabf3963015bbaa76",21.0172187295395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3677","04e6e7e29462c1967d26ad5438bac32953276867",16.2184290899433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6592","05ea3e3b9357a730bd115515899d18dcb42a21a3",2.0099339790329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14595","0624183bc7d2efc31268a4d7589f6681dc9bfff9",27.2564727227885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2825","068e71ff9c374f106b99800929726470934bfa44",0.142092250453143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","07138dfbf793c0dc11298c9d4adcd3193d540c98",0.189456333937525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9914","073d7221e8969048d19bb3933dcbc309d000e9ce",0.0947281669687623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7253","07a2c93d729f687e9b3a39f828f429019e788fcd",0.568369001812574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
