Sample_name,Label,Hash,nReads
MV1-FHL055_MV1,MV1,5ac0421b98b055bc4f6d1027c33dd7724abbad7b,9
MV1-FHL070_MV1,MV1,5ac0421b98b055bc4f6d1027c33dd7724abbad7b,9
MV1-FHL009_MV1,MV1,2d99e2b8a3beb72dc012df8983d7bcf92d17841f,19
MV1-FHL045_MV1,MV1,2ba7a66fe2978f8a025ca33507b423659c2509f4,3
MV1-FHL016_MV1,MV1,f2707991c38ef164eed2943c005109090ff239fa,30
MV1-FHL083_MV1,MV1,25498a9f987f630688c3ddb9ab52f43faf7588e3,43
MV1-FHL047_MV1,MV1,c9adcf9eff6e267f86ee23de808a0723a4e277a9,45
MV1-FHL016_MV1,MV1,c9adcf9eff6e267f86ee23de808a0723a4e277a9,10
MV1-FHL001_MV1,MV1,5f9dc7b26ee58fcf1b45b2f33b176d0f56e519d1,26
MV1-FHL026_MV1,MV1,668dbb59a9e60f2ddfa5a4bdd5efcb7132bef24f,3
MV1-FHL012_MV1,MV1,f6a370306d438ca821e9112628af9ef45616eaf5,33
MV1-FHL018_MV1,MV1,f6a370306d438ca821e9112628af9ef45616eaf5,29
MV1-FHL077_MV1,MV1,04009ebd57459b412003141653cdb40e37e6a87e,2
MV1-FHL077_MV1,MV1,37ee96039a7d68880557c00fb4560d763bab40a6,6
MV1-FHL077_MV1,MV1,da2f90a98ce2654aee805790af923a9dd4772024,4
MV1-FHL015_MV1,MV1,e1fc77931a6b54d7524d8dc1b77d57ebe0332eea,75
MV1-FHL003_MV1,MV1,38864fd9bbd49934ba4c336f4c2e975e7a57597d,50
MV1-FHL010_MV1,MV1,c7ce11156c40337ef79cd4b17b268ec1f024067f,53
MV1-FHL013_MV1,MV1,ea37be352248dad7ffd99529eb7577d87a5c8d1a,61
MV1-FHL016_MV1,MV1,ef7b57cb1b2a4e0f9521c0e554d9a587a3c996bb,6
MV1-FHL016_MV1,MV1,34efab04f961842da701b1f322ac5131221e4106,6
MV1-FHL015_MV1,MV1,5caf728cc7af6dbf2e9c8e14f31e1f1728d3db06,8
MV1-FHL045_MV1,MV1,5a105c5b20e010e541e6da44e52132bb1900931e,29
MV1-FHL015_MV1,MV1,77e8d733dc148c94ebd2e291be7d7c3ca990248d,6
MV1-FHL015_MV1,MV1,026b168df7b404df1e7a45e91b0e253d32b613a2,57
MV1-FHL090_MV1,MV1,e913f5d5c3cd4e3ecde96e07e72b4c601e60abb9,5
MV1-FHL009_MV1,MV1,0178e4581baeb1ef8bc926d0c8a2ef21a2d3e29a,3
MV1-FHL077_MV1,MV1,4a52e6205073bc312f60ba0da33930620a01d2b2,82
MV1-FHL077_MV1,MV1,8deb50f110430014a6689db3557b052e44e7333d,9
MV1-FHL016_MV1,MV1,0dee0c7ef437207dc799c2b96c230145d46dced5,43
MV1-FHL077_MV1,MV1,0dee0c7ef437207dc799c2b96c230145d46dced5,2
MV1-FHL089_MV1,MV1,699befa0cff76e6fb4ec31fe30d34634df1df1e9,13
MV1-FHL051_MV1,MV1,266425ac231a4ada141f28953b0d964ab82d13b3,4
MV1-FHL077_MV1,MV1,a5663f2e3d3f504e304f3ec7e32f675baabe4403,3
MV1-FHL003_MV1,MV1,57ea1a72c5c2427f407bcce796df542e93abcd58,2
MV1-FHL064_MV1,MV1,bf9f8882c9dfd2ac85671589892aa97bf69359fa,1082
MV1-FHL077_MV1,MV1,7508b71f36cb579ff1d106908a5a37ebb15764b3,29
MV1-FHL047_MV1,MV1,6e43a1131f705b387d847ab292faa11bbed27b30,58
MV1-FHL016_MV1,MV1,0297d69410133b3f94965bd8f15fe62e8fa9057a,65
MV1-FHL013_MV1,MV1,86c3235001aada124e1066b35b2be99f2f2500aa,18
MV1-FHL048_MV1,MV1,17621369bf23217a04116d26972cb2c502180416,16
MV1-FHL077_MV1,MV1,cffce334064910e39b6e2c62f0b5a26799e9935a,19
MV1-FHL077_MV1,MV1,9005c4f401ba738a774ea2345c79c9968cb50ebe,6
MV1-FHL016_MV1,MV1,fa438a8bbb4197f6a7b644969104069cba4fe077,58
MV1-FHL043_MV1,MV1,f9dde976012797d66615c18c6bb007b5e147827b,36
MV1-FHL054_MV1,MV1,5211aed72d6117d89f11598946320917c13d4f2f,12
MV1-FHL013_MV1,MV1,a7008468ddc4c56732d27767d9c076367cf2eb48,31
MV1-FHL013_MV1,MV1,af54a6e8734178f92d0d7910558b870080aa89ba,25
MV1-FHL016_MV1,MV1,63af6c981035c01b003578438b7c68b87185b587,25
MV1-FHL016_MV1,MV1,2dd16b3d20d34db3981853c8cf875d006105935f,17
MV1-FHL077_MV1,MV1,39720d758e17d451566bd0c25d63d01bbf0deeda,10
MV1-FHL048_MV1,MV1,e45f5752e8bc3bf82b746c1fdd4acf77ce823677,2
MV1-FHL013_MV1,MV1,9df38a9cc0a5b06ed93899f744d2640e5cd58ca2,33
MV1-FHL017_MV1,MV1,316af6f7c2786a31a017011d36ebfb22efbd0c2e,76
MV1-FHL090_MV1,MV1,316af6f7c2786a31a017011d36ebfb22efbd0c2e,218
MV1-FHL070_MV1,MV1,ac31817c73fae2f9a1d33304a483f680081912d9,192
MV1-FHL015_MV1,MV1,157c490dc5867a4c854dbfc20026a1c5ed900f7b,39
MV1-FHL013_MV1,MV1,4369e4f39e88085db8e36bbae99e48c8ef3b840b,10
MV1-FHL024_MV1,MV1,c51518002e1546583b1413525bfc4b945bf53503,45
MV1-FHL006_MV1,MV1,9a2c5822125276d895a600c7fdc45ebb0786f64d,35
MV1-FHL003_MV1,MV1,831a851ea3080b5ecb18ad34dac977d4c3624446,87
MV1-FHL085_MV1,MV1,f98e44841bad4b4540cb2740a2976091c45d76e6,40
MV1-FHL085_MV1,MV1,35ded691c9daba9ad50c91585be53c3b9d08b170,16
MV1-FHL043_MV1,MV1,9f31c75546e3e70822cecb212d2b6c959f2f86f8,213
MV1-FHL017_MV1,MV1,11c5cd20074ee1b7c2713660e2c4a13cb3f2389d,13
MV1-FHL039_MV1,MV1,d89d7ac8641ec36e48d9b8c83ab282392582f235,3
MV1-FHL047_MV1,MV1,c53b86b4093db45b1cca77ed0d6f7b62fb62658b,7
MV1-FHL016_MV1,MV1,b188137ed3d823b29dc9d5a412efb0a818922b96,15
MV1-FHL090_MV1,MV1,f58627ded8bb89f1985615411b445a3294cb583f,88
MV1-FHL026_MV1,MV1,ec0ee8af9099c5d91e8be5ce47afea6bd9e0f7d5,7
MV1-FHL016_MV1,MV1,2d9c0b52f6695e85f901f08b008bbb228fa3fb0d,21
MV1-FHL023_MV1,MV1,ef8cec16969a6f9512043f800f8fdea1c56b5796,22
MV1-FHL041_MV1,MV1,55254bdaa89edf82f37ae9bd1f7216deb7efeb7c,6
MV1-FHL009_MV1,MV1,ead23cb7c4ffd146d891cfcfe40a33be5020f6c7,27
MV1-FHL010_MV1,MV1,37e51b12f213a5f32359e642260665221d83a992,33
MV1-FHL034_MV1,MV1,100b270f84ebaf50c8a23e5aa4ea286fc45b7855,78
MV1-FHL026_MV1,MV1,db391ab26258d396efef9a978dbf559159bcdb53,4
MV1-FHL026_MV1,MV1,92453c01202293cafc62bb46604751cef1499c6a,19
MV1-FHL081_MV1,MV1,7af8e6e1d8048ea49e739fca6a248ae2859e4db3,445
MV1-FHL064_MV1,MV1,a349722e4ab89c82322dc40d804d03deab068a28,10
MV1-FHL016_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,25
MV1-FHL015_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,46
MV1-FHL056_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,3
MV1-FHL034_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,45
MV1-FHL023_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,10
MV1-FHL011_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,45
MV1-FHL032_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,4
MV1-FHL070_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,44
MV1-FHL077_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,57
MV1-FHL026_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,25
MV1-FHL045_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,36
MV1-FHL074_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,2
MV1-FHL048_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,7
MV1-FHL020_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,8
MV1-FHL009_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,15
MV1-FHL022_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,49
MV1-FHL043_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,16
MV1-FHL085_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,15
MV1-FHL013_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,15
MV1-FHL084_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,3
