BestTaxon,Class,LoLe-ENC3-COI_R1.fastq.gz,LoLe-ENC4A-COI_R1.fastq.gz,LoLe-ENC5B-COI_R1.fastq.gz,LoLe-ENC6C-COI_R1.fastq.gz,LoLe-FHL001-COI-N1-NL-1_R1.fastq.gz,LoLe-FHL002-COI-N1-NL-2_R1.fastq.gz,LoLe-FHL003-COI-N1-NL-3_R1.fastq.gz,LoLe-FHL004-COI-N1-WL-1_R1.fastq.gz,LoLe-FHL005-COI-N1-WL-2_R1.fastq.gz,LoLe-FHL006-COI-N1-WL-3_R1.fastq.gz,LoLe-FHL008-COI-D1-NL-1_R1.fastq.gz,LoLe-FHL009-COI-D1-NL-2_R1.fastq.gz,LoLe-FHL010-COI-D1-NL-3_R1.fastq.gz,LoLe-FHL011-COI-D1-WL-1_R1.fastq.gz,LoLe-FHL012-COI-D1-WL-2_R1.fastq.gz,LoLe-FHL013-COI-D1-WL-3_R1.fastq.gz,LoLe-FHL015-COI-N2-NL-1_R1.fastq.gz,LoLe-FHL016-COI-N2-NL-2_R1.fastq.gz,LoLe-FHL017-COI-N2-NL-3_R1.fastq.gz,LoLe-FHL018-COI-N2-WL-1_R1.fastq.gz,LoLe-FHL019-COI-N2-WL-2_R1.fastq.gz,LoLe-FHL020-COI-N2-WL-3_R1.fastq.gz,LoLe-FHL021-COI-N2-FN_R1.fastq.gz,LoLe-FHL022-COI-D2-NL-1_R1.fastq.gz,LoLe-FHL023-COI-D2-NL-2_R1.fastq.gz,LoLe-FHL024-COI-D2-NL-3_R1.fastq.gz,LoLe-FHL025-COI-D2-WL-1_R1.fastq.gz,LoLe-FHL026-COI-D2-WL-2_R1.fastq.gz,LoLe-FHL027-COI-D2-WL-3_R1.fastq.gz,LoLe-FHL029-COI-D3-NL-1_R1.fastq.gz,LoLe-FHL030-COI-D3-NL-2_R1.fastq.gz,LoLe-FHL031-COI-D3-NL-3_R1.fastq.gz,LoLe-FHL032-COI-D3-WL-1_R1.fastq.gz,LoLe-FHL033-COI-D3-WL-2_R1.fastq.gz,LoLe-FHL034-COI-D3-WL-3_R1.fastq.gz,LoLe-FHL036-COI-N3-FN_R1.fastq.gz,LoLe-FHL037-COI-N3-NL-1_R1.fastq.gz,LoLe-FHL038-COI-N3-NL-2_R1.fastq.gz,LoLe-FHL039-COI-N3-NL-3_R1.fastq.gz,LoLe-FHL040-COI-N3-WL-1_R1.fastq.gz,LoLe-FHL041-COI-N3-WL-2_R1.fastq.gz,LoLe-FHL042-COI-N3-WL-3_R1.fastq.gz,LoLe-FHL043-COI-D4-NL-1_R1.fastq.gz,LoLe-FHL044-COI-D4-NL-2_R1.fastq.gz,LoLe-FHL045-COI-D4-NL-3_R1.fastq.gz,LoLe-FHL047-COI-D4-WL-1_R1.fastq.gz,LoLe-FHL048-COI-D4-WL-2_R1.fastq.gz,LoLe-FHL049-COI-D4-WL-3_R1.fastq.gz,LoLe-FHL050-COI-N4-FN_R1.fastq.gz,LoLe-FHL051-COI-N4-NL-1_R1.fastq.gz,LoLe-FHL052-COI-N4-NL-2_R1.fastq.gz,LoLe-FHL053-COI-N4-NL-3_R1.fastq.gz,LoLe-FHL054-COI-N4-WL-1_R1.fastq.gz,LoLe-FHL055-COI-N4-WL-2_R1.fastq.gz,LoLe-FHL056-COI-N4-WL-3_R1.fastq.gz,LoLe-FHL058-COI-D5-NL-1_R1.fastq.gz,LoLe-FHL059-COI-D5-NL-2_R1.fastq.gz,LoLe-FHL060-COI-D5-NL-3_R1.fastq.gz,LoLe-FHL061-COI-D5-WL-1_R1.fastq.gz,LoLe-FHL062-COI-D5-WL-2_R1.fastq.gz,LoLe-FHL063-COI-D5-WL-3_R1.fastq.gz,LoLe-FHL064-COI-N5-FN_R1.fastq.gz,LoLe-FHL065-COI-N5-NL-1_R1.fastq.gz,LoLe-FHL066-COI-N5-NL-2_R1.fastq.gz,LoLe-FHL067-COI-N5-NL-3_R1.fastq.gz,LoLe-FHL068-COI-N5-WL-1_R1.fastq.gz,LoLe-FHL069-COI-N5-WL-2_R1.fastq.gz,LoLe-FHL070-COI-N5-WL-3_R1.fastq.gz,LoLe-FHL071-COI-D6-FN_R1.fastq.gz,LoLe-FHL072-COI-D6-NL-1_R1.fastq.gz,LoLe-FHL073-COI-D6-NL-2_R1.fastq.gz,LoLe-FHL074-COI-D6-NL-3_R1.fastq.gz,LoLe-FHL075-COI-D6-WL-1_R1.fastq.gz,LoLe-FHL076-COI-D6-WL-2_R1.fastq.gz,LoLe-FHL077-COI-D6-WL-3_R1.fastq.gz,LoLe-FHL078-COI-N6-FN_R1.fastq.gz,LoLe-FHL081-COI-N6-NL-3_R1.fastq.gz,LoLe-FHL082-COI-N6-WL-1_R1.fastq.gz,LoLe-FHL083-COI-N6-WL-2_R1.fastq.gz,LoLe-FHL084-COI-N6-WL-3_R1.fastq.gz,LoLe-FHL085-COI-D7-NL-1_R1.fastq.gz,LoLe-FHL086-COI-D7-NL-2_R1.fastq.gz,LoLe-FHL087-COI-D7-NL-3_R1.fastq.gz,LoLe-FHL088-COI-D7-WL-1_R1.fastq.gz,LoLe-FHL089-COI-D7-WL-2_R1.fastq.gz,LoLe-FHL090-COI-D7-WL-3_R1.fastq.gz,LoLe-FHL092-COI-N7-NL-1_R1.fastq.gz,LoLe-FHL093-COI-N7-NL-2_R1.fastq.gz,LoLe-FHL094-COI-N7-NL-3_R1.fastq.gz,LoLe-PCRNa-COI_R1.fastq.gz,LoLe-PCRNb-COI_R1.fastq.gz
Balanidae,Thecostraca,0,0,0,0,38,13,31,12,5,10,28,17,5,6,5,11,9,8,0,9,9,0,0,9,12,19,9,10,16,4,441,13,0,14,18,0,0,27,25,7,0,16,8,13,5,13,5,9,0,0,0,0,0,6,26,0,6,0,0,8,0,0,0,0,0,22,0,0,0,0,0,0,0,0,6,0,0,0,4,5,36,0,0,12,0,0,0,0,0,0,0
Bathycoccus prasinos,Mamiellophyceae,0,0,0,0,373,234,382,372,154,483,267,352,596,356,336,411,560,807,204,221,229,114,0,560,435,1193,742,1236,1026,202,791,926,1178,819,1033,0,1114,1559,1308,535,1222,1234,1963,1479,2256,1214,2582,3487,0,616,11,0,112,262,195,202,2899,2186,2958,3390,2739,0,0,72,2595,5074,15,1486,119,0,474,629,2496,5172,4525,0,16,3633,18159,24285,12855,122,2610,10333,0,2738,4,0,0,0,0
Bomolochus cuneatus,Hexanauplia,0,0,0,0,298,87,133,0,0,0,0,0,167,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bougainvillia,Hydrozoa,0,0,0,0,12,6,17,4,0,0,40,40,0,16,15,44,0,11,0,7,5,7,0,0,0,28,0,0,12,20,76,257,8,0,5,0,0,0,0,0,0,17,20,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,8,0,0,0,0,0,0,11,0,0,0,9,10,27,0,0,0,0,0,0,0,0,0,0
Bougainvillia muscus,Hydrozoa,0,0,0,0,8,0,0,0,0,0,28,14,0,19,22,32,45,75,11,18,12,7,0,118,206,545,145,97,219,133,512,965,75,345,74,0,34,33,23,22,80,84,138,144,90,20,19,52,0,0,0,0,3,19,27,0,61,26,0,10,7,0,0,0,23,82,0,0,0,0,0,0,7,11,116,0,0,0,0,0,241,0,16,316,0,26,0,0,0,0,0
Calanus pacificus,Hexanauplia,0,0,0,0,8,0,3,0,25,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callophyllis edentata,Florideophyceae,0,0,0,0,5,0,0,5,0,0,30,28,8,0,3,40,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Campanularia sp. BMBM-0903,Hydrozoa,0,0,0,0,5,0,0,0,0,0,14,12,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campanulariidae sp. BMBM-0904,Hydrozoa,0,0,0,0,26,6,95,0,0,4,158,1000,23,705,52,352,56,136,63,0,64,0,0,194,396,1358,207,143,295,198,409,683,96,238,122,0,51,44,0,36,55,118,143,128,63,98,74,104,0,0,0,0,0,42,63,0,59,0,8,20,8,0,0,0,153,1257,2,0,0,0,0,0,13,119,234,0,0,0,38,4083,370,0,23,382,0,0,0,0,0,0,0
Chaetoceros,Coscinodiscophyceae,0,0,0,0,19,5,9,14,3,30,48,60,54,21,27,55,46,35,7,10,8,13,0,30,42,44,31,101,43,13,78,38,23,42,56,0,18,21,66,18,31,23,52,42,67,42,71,39,0,4,0,0,0,3,4,2,20,18,23,102,17,0,0,0,12,11,0,4,0,0,0,0,3,8,29,0,0,0,24,9,29,0,3,27,0,4,0,0,0,0,0
Chaetoceros socialis,Coscinodiscophyceae,0,0,0,0,773,52,169,940,326,154,1028,338,383,195,109,610,769,984,37,228,457,110,0,227,257,523,327,386,776,55,1443,427,197,614,807,0,868,658,999,752,1159,696,757,500,990,253,508,303,0,10,0,0,3,103,84,3,414,489,393,483,468,0,0,0,38,277,0,13,0,0,0,0,20,193,384,0,0,7,104,443,602,0,5,227,0,6,0,0,0,0,0
Chondracanthus,Florideophyceae,0,0,0,0,27,4,7,11,4,0,9,10,8,5,6,11,4,0,0,3,3,5,0,19,19,24,10,17,25,4,14,15,13,22,31,0,11,0,8,11,7,10,16,16,13,10,8,20,0,0,0,0,0,4,7,0,5,8,0,8,6,0,0,0,3,14,0,0,0,0,0,0,0,4,6,0,0,0,0,0,16,0,0,5,0,0,0,0,0,0,0
Chordariaceae,Phaeophyceae,0,0,0,0,38,13,42,12,12,12,0,3,6,19,6,17,4,4,0,0,0,0,0,6,6,13,5,10,5,8,0,7,19,11,4,0,0,0,5,0,0,0,15,21,26,8,18,8,0,6,0,0,0,3,7,0,0,5,6,6,27,0,0,0,0,0,0,0,0,0,3,6,11,8,6,0,0,0,0,0,33,0,8,5,0,5,0,0,0,0,0
Cliona californiana,Demospongiae,0,0,0,0,7,15,0,0,0,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,8,9,7,11,5,4,3,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea pallasii,Actinopteri,0,0,0,0,8,33,32,46,40,21,33,10,61,111,222,110,57,93,77,43,47,22,370,248,155,111,237,400,475,229,128,122,324,224,960,0,873,47,35,3,77,18,112,70,72,226,208,310,0,64,10,0,17,16,48,22,61,41,58,59,39,0,0,25,112,220,7,68,0,0,48,102,147,115,125,0,0,0,5,0,256,43,187,592,0,306,0,0,0,0,0
Clytia gregaria,Hydrozoa,0,0,0,0,474,124,541,43,113,26,1544,2013,128,261,303,551,141,97,111,126,74,24,0,360,230,1071,413,327,536,199,1305,3513,150,131,300,0,216,240,48,27,52,427,99,39,91,105,81,104,0,11,0,0,0,21,34,0,54,22,5,18,11,0,0,0,38,102,0,5,0,0,0,0,3,54,148,0,0,139,269,19,100,0,6,95,0,15,0,0,0,0,0
Compsomyax,Bivalvia,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,47,28,0,13,9,0,0,0,0,0,0,0,15,261,384,73,40,68,0,0,0,0,0,0,0,0,0,0,0,11,2,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Compsomyax subdiaphana,Bivalvia,0,0,0,0,3,0,0,0,0,54,172,0,80,8,0,314,0,8,0,0,17,0,0,2,0,0,0,4,0,11,0,0,0,81,0,0,0,4,0,0,0,0,0,0,0,58,0,21,0,0,4,0,3,0,0,15,29,294,57,30,157,0,0,0,0,0,0,0,0,0,29,6,19,0,185,0,0,7,50,6,0,9,16,123,0,0,0,0,0,0,0
Coryne eximia,Hydrozoa,0,0,0,0,150,6,29,3,0,0,796,511,105,118,93,868,3,5,0,0,4,0,0,7,39,65,16,16,70,0,0,0,0,13,28,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,0,0,0,3,3,10,0,0,5,0,0,0,0,0,0,0
Coscinodiscus granii,Coscinodiscophyceae,0,0,0,0,84,0,15,11,76,2,9,19,50,7,0,51,21,0,4,0,26,12,0,13,19,21,51,11,52,5,36,13,0,0,0,0,45,219,32,0,0,19,26,20,16,2,0,45,0,0,0,0,0,12,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Crisularia pacifica,Gymnolaemata,0,0,0,0,7,0,0,3,0,0,0,4,0,7,4,22,12,7,0,4,4,2,0,9,7,18,5,4,6,9,45,28,9,12,9,0,0,0,5,2,9,17,15,6,20,6,0,3,0,0,0,0,0,3,0,0,3,0,0,0,6,0,0,0,7,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,27,0,0,7,0,0,0,0,0,0,0
Cylindrotheca closterium,Bacillariophyceae,0,0,0,0,21,5,19,29,15,10,30,18,63,106,130,109,9,24,38,15,4,13,0,224,371,220,187,86,143,111,123,185,344,285,339,0,51,43,28,14,58,38,277,172,233,164,222,375,0,36,0,0,0,8,7,30,380,197,630,521,506,0,0,0,28,28,0,16,0,0,20,44,418,337,381,0,0,0,12,17,255,8,78,221,0,81,0,0,0,0,0
Cymbomonas tetramitiformis,Pyramimonadophyceae,0,0,0,0,4,0,17,7,0,0,9,18,27,85,16,10,5,18,5,9,9,0,0,19,35,28,9,66,21,10,59,23,28,25,124,0,8,9,43,9,12,6,23,30,49,7,255,12,0,0,0,0,0,0,7,0,10,3,13,23,0,0,0,0,0,4,0,0,0,0,4,3,0,11,0,0,0,0,2,0,5,0,7,15,0,7,0,0,0,0,0
Dictyocha speculum,Dictyochophyceae,0,0,0,0,97,30,69,129,54,85,77,73,108,60,117,97,78,109,42,45,29,31,0,156,104,199,210,189,222,82,136,141,125,120,199,0,123,153,98,44,138,121,166,125,168,188,417,467,0,54,4,0,14,42,27,26,251,164,162,187,319,0,0,0,65,108,0,51,0,0,19,31,72,90,123,0,0,27,152,197,168,0,78,290,0,121,0,0,0,0,0
Dinophysis,Dinophyceae,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,23,20,18,0,0,6,0,0,0,41,19,14,76,34,0,32,0,0,0,13,0,0,0,31,10,8,6,10,20,0,26,35,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diopatra,Polychaeta,0,0,0,0,33,68,71,92,65,76,6,0,0,0,5,0,105,142,95,73,69,53,0,0,0,11,2,0,0,17,0,22,22,18,5,0,106,130,65,31,80,82,10,14,0,0,8,10,0,39,0,0,0,0,0,15,76,46,15,9,33,0,0,0,19,20,0,14,0,0,76,66,223,28,76,0,0,0,14,22,122,16,47,46,0,49,0,0,0,0,0
Dorvilleidae,Polychaeta,0,0,0,0,7,16,17,571,2181,1684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,0,0,165,233,115,102,253,430,12,4,0,0,12,11,0,7,0,0,0,4,0,0,11,0,17,0,19,0,0,1781,9452,48,0,18,0,0,8,0,16,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ectocarpus,Phaeophyceae,0,0,0,0,13,0,4,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eucampia,Mediophyceae,0,0,0,0,159,7,31,40,22,12,54,78,72,66,39,201,115,174,6,149,38,108,0,104,42,49,289,20,279,54,137,155,67,99,333,0,125,277,145,114,126,231,223,58,131,122,204,224,0,0,0,0,0,44,9,0,310,186,274,292,154,0,0,0,8,81,0,11,0,0,3,0,11,230,187,0,0,0,61,295,104,0,3,54,0,0,0,0,0,0,0
Eucampia zodiacus,Mediophyceae,0,0,0,0,72,0,0,26,0,0,22,115,72,0,0,159,71,61,0,0,17,0,0,13,56,20,17,453,142,0,285,2,0,24,42,0,9,51,417,124,108,115,103,272,646,117,27,12,0,0,0,0,0,19,6,0,0,6,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,0,0,0,0,5,135,0,0,12,0,0,0,0,0,0,0
Eupentacta pseudoquinquesemita,Holothuroidea,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,2,0,4,0,0,0,0,0,0,0,14,0,0,2,0,10,6,5,8,4,0,0,0,0,0,5,16,0,0,3,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0
Guinardia,Coscinodiscophyceae,0,0,0,0,111,34,122,97,41,9,137,69,142,23,21,81,85,174,5,106,58,22,0,97,44,60,36,44,57,36,122,44,31,71,279,0,154,426,443,141,310,404,160,91,112,8,144,133,0,3,0,0,0,23,23,0,39,43,55,133,149,0,0,0,8,26,0,4,0,0,0,0,12,63,154,0,0,0,6,55,5,0,2,17,0,0,0,0,0,0,0
Guinardia delicatula,Coscinodiscophyceae,0,0,0,0,78,0,4,60,17,0,111,137,68,0,0,78,18,36,0,10,23,7,0,18,41,12,0,64,44,0,199,12,2,46,141,0,18,60,296,76,100,81,87,103,72,69,28,11,0,0,0,0,0,6,0,0,7,31,4,89,0,0,0,0,0,4,0,0,0,0,0,0,0,3,23,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0
Halichondria panicea,Demospongiae,0,0,0,0,15,10,16,0,0,0,64,31,12,91,93,59,0,10,0,0,3,0,0,14,0,62,0,11,10,12,7,11,19,0,8,0,5,0,0,3,0,14,7,7,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,0,0,0,0,0,2,0,0,7,0,0,0,0,4,10,0,11,11,0,18,0,0,0,0,0
Hataia parva,Hydrozoa,0,0,0,0,19,0,4,5,0,7,0,0,0,3,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,16,4,10,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hematodinium sp.,Dinophyceae,0,0,0,0,215,0,7,188,22,2,83,142,184,11,4,143,599,510,0,61,170,33,0,7,49,19,50,182,154,2,278,44,4,60,90,0,1279,4249,2949,4020,3104,3904,232,425,430,251,124,72,0,0,0,0,0,110,43,0,21,32,19,137,12,0,0,0,0,5,0,0,0,0,0,0,0,5,100,0,0,0,5,8,222,0,0,26,0,0,0,0,0,0,0
Hemiaulus,Mediophyceae,0,0,0,0,1089,30,135,442,189,99,374,955,878,194,164,748,338,697,27,310,213,196,0,381,703,445,573,542,845,86,668,387,446,2377,1865,0,1338,2099,1198,1057,2398,2735,2844,987,1738,684,1017,719,0,32,0,0,18,541,434,8,1210,1284,1057,1804,860,0,0,0,104,1562,0,86,26,0,5,7,51,533,1244,0,0,13,487,865,749,0,21,1159,0,28,0,0,0,0,0
Heterocapsa,Dinophyceae,0,0,0,0,15,0,6,0,0,0,4,15,0,7,5,0,10,14,0,8,14,0,0,0,0,0,0,19,13,56,355,86,21,33,35,0,36,65,275,107,84,68,124,173,281,26,69,11,0,17,0,0,0,27,51,5,30,23,52,139,12,0,0,0,13,46,0,6,0,0,0,6,16,44,72,0,0,10,40,7,98,0,11,76,0,4,0,0,0,0,0
Heterosigma akashiwo,Raphidophyceae,0,0,0,0,2,5,0,12,6,10,8,16,11,36,17,23,23,23,5,15,15,0,0,0,14,28,8,89,32,7,94,35,11,20,29,0,7,14,131,12,15,8,13,48,106,148,124,51,0,0,0,0,0,12,12,9,18,17,10,87,18,0,0,0,10,31,0,0,0,0,0,0,0,31,31,0,0,0,10,2,22,0,5,19,0,0,0,0,0,0,0
Humilaria kennerleyi,Bivalvia,0,0,0,0,5,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,2,2,13,0,0,27,53,0,0,3,0,12,0,0,0,0,4,10,16,21,46,0,0,22,18,36,222,0,6,165,0,26,0,0,0,0,0
Ischyroceridae,Malacostraca,0,0,0,0,8,0,0,0,0,0,0,0,0,7,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jassa staudei,Malacostraca,0,0,0,0,7,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leodice valens,Polychaeta,0,0,0,0,3,0,0,0,0,0,9,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,10,32,16,10,20,0,0,6,3,5,0,0,6,12,11,7,0,0,0,0,0,0,0,0,0,0,0,19,19,16,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Leptothecata,Hydrozoa,0,0,0,0,86,5,42,2,2,0,544,345,18,180,194,605,41,46,48,0,0,0,0,72,75,330,57,71,137,94,153,505,263,226,97,0,2,0,0,3,0,2,84,12,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,73,0,0,0,0,0,0,0,0,2,0,0,0,5,0,116,0,0,95,0,0,0,0,0,0,0
Membranipora,Gymnolaemata,0,0,0,0,97,11,41,71,32,42,1157,1209,47,137,96,287,214,96,33,65,49,77,0,22,115,129,44,280,185,9,42,11,83,35,61,0,102,49,121,32,116,264,63,36,141,5,14,42,0,8,0,0,5,7,6,0,37,5,0,5,3,0,0,0,4,28,0,0,0,0,0,0,0,0,50,0,0,0,12,11,120,0,0,52,0,0,0,0,0,0,0
Membranipora membranacea,Gymnolaemata,0,0,0,0,137,269,191,26,61,99,1442,834,143,320,268,288,91,182,47,96,159,81,0,77,237,149,154,139,50,47,95,73,119,66,181,0,46,291,213,26,148,220,87,110,255,19,218,55,0,18,0,0,0,63,37,2,24,0,6,261,15,0,0,0,16,84,0,0,0,0,15,0,16,14,21,0,0,9,58,20,202,0,8,61,0,57,0,0,0,0,0
Metridium,Anthozoa,0,0,0,0,11,2,6,13,0,0,20,17,16,9,15,25,4,6,0,0,0,0,0,5,4,3,36,131,102,7,28,13,19,47,87,0,7,0,3,0,7,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,3,22,0,2,0,0,0,0,4,21,34,0,0,0,0,0,858,0,0,20,0,0,0,0,0,0,0
Micropodarke dubia,Polychaeta,0,0,0,0,305,7,23,3518,34,37,232,1185,2,0,0,350,1702,112,27,703,89,119,0,775,76,976,2029,3270,1408,0,0,29,88,206,448,0,0,0,0,4,0,0,1881,953,120,1892,4242,35,0,0,0,0,0,12,0,0,90,343,24,136,18,0,0,0,42,10,0,0,0,0,0,0,0,360,98,0,0,0,89,62,96,0,3,962,0,0,0,0,0,0,0
Minutocellus,Mediophyceae,0,0,0,0,789,882,720,1117,542,1599,751,393,994,1260,1518,1109,794,1093,852,1146,232,1098,0,2602,1926,1408,1195,681,1073,1315,510,1498,3873,3522,3249,0,3964,1579,1051,143,1574,1152,918,596,437,1105,2363,4939,0,2188,68,0,163,201,424,778,2870,2975,4853,2028,3720,0,0,58,1653,2207,19,2374,0,0,871,1231,3394,2696,2537,0,17,1968,8357,6651,2995,113,2482,4071,0,2395,3,0,0,0,0
Mitrocoma cellularia,Hydrozoa,0,0,0,0,118,14,48,570,33,9,1926,1456,188,382,239,1919,310,505,11,89,98,54,0,546,544,894,905,1494,2467,102,702,460,129,354,557,0,26,64,54,26,37,382,372,238,2383,1044,792,486,0,4,0,0,0,24,20,0,45,30,18,91,28,0,0,2,8,37,0,0,0,0,0,0,0,15,208,0,0,0,15,20,331,0,3,44,0,0,0,0,0,0,0
Modiolus modiolus,Bivalvia,0,0,0,0,220,19,5,99,194,25,4,4,0,0,14,0,0,36,10,0,45,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,16,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mytilus,Bivalvia,0,0,0,0,4,0,7,0,0,0,9,0,0,0,0,0,0,25,0,0,5,0,0,0,0,8,7,0,10,0,23,0,0,0,21,0,0,3,0,0,0,5,0,0,11,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,50,0,0,0,12,10,258,0,0,330,0,13,0,0,0,0,0
Nitzschia,Bacillariophyceae,0,0,0,0,43,25,13,54,28,17,31,38,45,67,119,63,36,24,67,36,24,49,0,2288,881,865,560,345,564,224,98,241,410,488,520,0,331,63,102,36,112,140,206,127,168,2510,2989,4765,0,301,10,0,40,71,89,119,674,460,316,212,245,0,0,6,16,54,0,31,0,0,63,65,189,121,202,0,0,0,10,10,338,29,712,844,0,532,0,0,0,0,0
Noelaerhabdaceae,,0,0,0,0,63,71,87,96,51,78,104,73,66,78,76,96,87,125,40,48,32,59,0,124,102,193,127,118,135,54,128,127,171,191,166,0,151,115,179,49,166,201,177,105,119,88,82,113,0,17,0,0,4,7,12,11,103,99,112,120,81,0,0,0,11,16,0,5,0,0,7,5,35,43,40,0,0,0,24,15,75,0,11,47,0,12,0,0,0,0,0
Nutricola,Bivalvia,0,0,0,0,11,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,2,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
