BestTaxon,Class,LoLe-ENC3-COI_R1.fastq.gz,LoLe-ENC4A-COI_R1.fastq.gz,LoLe-ENC5B-COI_R1.fastq.gz,LoLe-ENC6C-COI_R1.fastq.gz,LoLe-FHL001-COI-N1-NL-1_R1.fastq.gz,LoLe-FHL002-COI-N1-NL-2_R1.fastq.gz,LoLe-FHL003-COI-N1-NL-3_R1.fastq.gz,LoLe-FHL004-COI-N1-WL-1_R1.fastq.gz,LoLe-FHL005-COI-N1-WL-2_R1.fastq.gz,LoLe-FHL006-COI-N1-WL-3_R1.fastq.gz,LoLe-FHL008-COI-D1-NL-1_R1.fastq.gz,LoLe-FHL009-COI-D1-NL-2_R1.fastq.gz,LoLe-FHL010-COI-D1-NL-3_R1.fastq.gz,LoLe-FHL011-COI-D1-WL-1_R1.fastq.gz,LoLe-FHL012-COI-D1-WL-2_R1.fastq.gz,LoLe-FHL013-COI-D1-WL-3_R1.fastq.gz,LoLe-FHL015-COI-N2-NL-1_R1.fastq.gz,LoLe-FHL016-COI-N2-NL-2_R1.fastq.gz,LoLe-FHL017-COI-N2-NL-3_R1.fastq.gz,LoLe-FHL018-COI-N2-WL-1_R1.fastq.gz,LoLe-FHL019-COI-N2-WL-2_R1.fastq.gz,LoLe-FHL020-COI-N2-WL-3_R1.fastq.gz,LoLe-FHL021-COI-N2-FN_R1.fastq.gz,LoLe-FHL022-COI-D2-NL-1_R1.fastq.gz,LoLe-FHL023-COI-D2-NL-2_R1.fastq.gz,LoLe-FHL024-COI-D2-NL-3_R1.fastq.gz,LoLe-FHL025-COI-D2-WL-1_R1.fastq.gz,LoLe-FHL026-COI-D2-WL-2_R1.fastq.gz,LoLe-FHL027-COI-D2-WL-3_R1.fastq.gz,LoLe-FHL029-COI-D3-NL-1_R1.fastq.gz,LoLe-FHL030-COI-D3-NL-2_R1.fastq.gz,LoLe-FHL031-COI-D3-NL-3_R1.fastq.gz,LoLe-FHL032-COI-D3-WL-1_R1.fastq.gz,LoLe-FHL033-COI-D3-WL-2_R1.fastq.gz,LoLe-FHL034-COI-D3-WL-3_R1.fastq.gz,LoLe-FHL036-COI-N3-FN_R1.fastq.gz,LoLe-FHL037-COI-N3-NL-1_R1.fastq.gz,LoLe-FHL038-COI-N3-NL-2_R1.fastq.gz,LoLe-FHL039-COI-N3-NL-3_R1.fastq.gz,LoLe-FHL040-COI-N3-WL-1_R1.fastq.gz,LoLe-FHL041-COI-N3-WL-2_R1.fastq.gz,LoLe-FHL042-COI-N3-WL-3_R1.fastq.gz,LoLe-FHL043-COI-D4-NL-1_R1.fastq.gz,LoLe-FHL044-COI-D4-NL-2_R1.fastq.gz,LoLe-FHL045-COI-D4-NL-3_R1.fastq.gz,LoLe-FHL047-COI-D4-WL-1_R1.fastq.gz,LoLe-FHL048-COI-D4-WL-2_R1.fastq.gz,LoLe-FHL049-COI-D4-WL-3_R1.fastq.gz,LoLe-FHL050-COI-N4-FN_R1.fastq.gz,LoLe-FHL051-COI-N4-NL-1_R1.fastq.gz,LoLe-FHL052-COI-N4-NL-2_R1.fastq.gz,LoLe-FHL053-COI-N4-NL-3_R1.fastq.gz,LoLe-FHL054-COI-N4-WL-1_R1.fastq.gz,LoLe-FHL055-COI-N4-WL-2_R1.fastq.gz,LoLe-FHL056-COI-N4-WL-3_R1.fastq.gz,LoLe-FHL058-COI-D5-NL-1_R1.fastq.gz,LoLe-FHL059-COI-D5-NL-2_R1.fastq.gz,LoLe-FHL060-COI-D5-NL-3_R1.fastq.gz,LoLe-FHL061-COI-D5-WL-1_R1.fastq.gz,LoLe-FHL062-COI-D5-WL-2_R1.fastq.gz,LoLe-FHL063-COI-D5-WL-3_R1.fastq.gz,LoLe-FHL064-COI-N5-FN_R1.fastq.gz,LoLe-FHL065-COI-N5-NL-1_R1.fastq.gz,LoLe-FHL066-COI-N5-NL-2_R1.fastq.gz,LoLe-FHL067-COI-N5-NL-3_R1.fastq.gz,LoLe-FHL068-COI-N5-WL-1_R1.fastq.gz,LoLe-FHL069-COI-N5-WL-2_R1.fastq.gz,LoLe-FHL070-COI-N5-WL-3_R1.fastq.gz,LoLe-FHL071-COI-D6-FN_R1.fastq.gz,LoLe-FHL072-COI-D6-NL-1_R1.fastq.gz,LoLe-FHL073-COI-D6-NL-2_R1.fastq.gz,LoLe-FHL074-COI-D6-NL-3_R1.fastq.gz,LoLe-FHL075-COI-D6-WL-1_R1.fastq.gz,LoLe-FHL076-COI-D6-WL-2_R1.fastq.gz,LoLe-FHL077-COI-D6-WL-3_R1.fastq.gz,LoLe-FHL078-COI-N6-FN_R1.fastq.gz,LoLe-FHL081-COI-N6-NL-3_R1.fastq.gz,LoLe-FHL082-COI-N6-WL-1_R1.fastq.gz,LoLe-FHL083-COI-N6-WL-2_R1.fastq.gz,LoLe-FHL084-COI-N6-WL-3_R1.fastq.gz,LoLe-FHL085-COI-D7-NL-1_R1.fastq.gz,LoLe-FHL086-COI-D7-NL-2_R1.fastq.gz,LoLe-FHL087-COI-D7-NL-3_R1.fastq.gz,LoLe-FHL088-COI-D7-WL-1_R1.fastq.gz,LoLe-FHL089-COI-D7-WL-2_R1.fastq.gz,LoLe-FHL090-COI-D7-WL-3_R1.fastq.gz,LoLe-FHL092-COI-N7-NL-1_R1.fastq.gz,LoLe-FHL093-COI-N7-NL-2_R1.fastq.gz,LoLe-FHL094-COI-N7-NL-3_R1.fastq.gz,LoLe-PCRNa-COI_R1.fastq.gz,LoLe-PCRNb-COI_R1.fastq.gz
Paraphysomonas,Chrysophyceae,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizosolenia setigera,Coscinodiscophyceae,0,0,125,0,214,0,45,207,40,6,441,726,479,77,52,729,269,558,8,80,153,32,0,182,329,149,172,2294,565,25,3508,343,109,882,1293,0,640,1407,7928,4108,2832,2132,2787,3648,7414,2014,735,455,0,6,0,0,3,335,283,0,364,854,380,9345,365,0,0,0,141,1140,0,22,0,0,0,7,12,323,1729,0,0,2,160,371,1738,0,5,907,0,6,0,0,0,0,0
Thalassiosira nordenskioeldii,Coscinodiscophyceae,0,0,681,0,479,44,91,278,116,112,447,431,448,137,150,792,291,289,17,165,85,112,0,393,584,625,311,1086,596,113,698,278,270,804,1220,0,609,363,1079,241,580,554,669,771,809,574,771,775,0,36,0,0,11,113,116,9,375,654,480,1353,368,0,0,0,52,195,0,36,0,0,4,9,45,327,727,0,0,5,147,231,1231,0,21,475,0,38,0,0,0,0,0
Cladosporium,Dothideomycetes,0,0,0,1406,0,0,0,0,0,0,2,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2588,0,0,0,0,0,0,0,0,0,0,0,0,0,1545,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Encyonema,Bacillariophyceae,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heterocapsa rotundata,Dinophyceae,0,0,0,129,3910,1990,4149,1984,646,379,1772,1994,99,1196,876,929,2626,5525,1632,2299,3432,845,0,133,241,374,176,207,474,8119,8366,6325,2113,1804,653,0,9928,14767,15554,6850,12354,12896,4635,3801,6574,863,3119,2377,0,3309,166,0,1610,1723,3618,2693,5479,6685,5534,1774,1402,0,0,546,8015,15945,358,4262,0,0,1222,1852,4926,4430,4465,0,40,5402,21661,10465,10732,575,4173,6137,7,2474,16,4,0,0,0
Acartia longiremis,Hexanauplia,0,0,0,0,1334,1867,2259,774,180,203,642,863,877,123,383,1413,656,1989,1190,1906,2907,1318,0,624,310,1199,1749,300,4522,1208,640,2968,5897,2739,1602,0,4933,3047,1627,2058,7713,248,818,225,1626,3482,4902,6402,0,886,17,0,443,2288,2974,6,579,4138,777,146,179,0,0,67,4246,2569,16,1176,0,0,205,198,1218,1078,2226,0,10,619,2578,11057,21,50,420,738,0,333,0,2,0,0,0
Acrochaetium alariae,Florideophyceae,0,0,0,0,2,0,5,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aequorea,Hydrozoa,0,0,0,0,4,0,2,0,0,0,4,0,0,6,7,22,0,0,0,0,0,0,0,26,9,27,15,12,20,0,9,110,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aglaophenia latirostris,Hydrozoa,0,0,0,0,12,0,0,3,0,0,4,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,9,3,0,13,9,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amonardia perturbata,Hexanauplia,0,0,0,0,9,0,0,6,224,18,2,0,12,8,9,900,52,5,0,0,101,0,0,0,3,7,7,0,0,9,15,48,19,6,15,0,10,8,0,8,0,6,32,20,17,8,20,14,0,25,39,0,0,17,0,10,28,31,28,11,11,0,0,0,0,0,0,0,0,0,16,14,35,16,12,0,0,0,0,0,17,8,18,30,0,26,0,0,0,0,0
Attheya longicornis,Coscinodiscophyceae,0,0,0,0,75,0,9,50,23,0,38,34,28,9,0,41,38,52,3,11,20,6,0,17,22,24,29,25,28,0,31,18,4,28,47,0,56,51,104,28,53,77,50,24,44,20,25,25,0,0,0,0,0,10,4,0,11,46,23,47,6,0,0,0,2,21,0,2,0,0,0,0,0,13,64,0,0,0,3,36,86,0,0,31,0,0,0,0,0,0,0
Aurelia labiata,Scyphozoa,0,0,0,0,34,28,0,3,0,7,0,0,0,0,0,0,14,63,541,0,0,8,0,13,0,0,32,0,38,0,0,0,47,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,13,25,0,27,0,0,0,0,143,122,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
